State,Democratic,Republican,Other
AL,595018,1242200,1848
AK,140424,149773,18118
AZ,404507,1505372,51798
AR,580973,458036,340
CA,6955728,4555922,541645
CO,1081188,980668,45698
CT,945347,457749,21630
FL,3590201,3672864,166829
GA,1267690,1864202,69089
HI,313629,87172,14546
ID,,499796,4136
IL,3597456,1390690,153374
IN,1496976,903913,27344
IA,412365,1038175,28688
KS,310337,780863,37822
KY,850855,873507,
LA,877482,943014,27560
MD,1504691,783055,35437
MO,1158261,1518089,30052
NV,494805,284640,30623
NH,221549,434847,690
NY,4384907,1625069,692899
NC,1632527,1791450,48105
ND,212143,98553,
OH,1961249,3464651,296
OK,596750,763433,86663
OR,1128728,565254,86568
PA,2334126,2925080,299899
SC,704384,857167,35670
SD,193340,197848,
UT,258955,626640,26131
VT,216972,75398,14838
WA,1549708,1204584,64359
WI,1632697,1301183,15863
