State,Democratic,Republican,Other,Year
AL,538878.0,792561.0,21584.0,2002
AK,24133.0,179438.0,25977.0,2002
AR,433306.0,370653.0,0.0,2002
CO,648130.0,717893.0,50059.0,2002
DE,135253.0,94793.0,2268.0,2002
GA,932422.0,1071352.0,27830.0,2002
ID,132975.0,266215.0,9354.0,2002
IL,2103766.0,1325703.0,57382.0,2002
IA,554278.0,447892.0,20905.0,2002
KS,0.0,641075.0,135775.0,2002
KY,399634.0,731679.0,162.0,2002
LA,1235554.0,1229344.0,16731.0,2002
ME,209858.0,295041.0,0.0,2002
MA,1605976.0,0.0,400782.0,2002
MI,1896614.0,1185545.0,47128.0,2002
MN,1078627.0,1116697.0,59315.0,2002
MS,0.0,533269.0,97226.0,2002
MO,913778.0,935032.0,28810.0,2002
MT,204853.0,103611.0,18073.0,2002
NE,70290.0,397438.0,12489.0,2002
NH,207478.0,227229.0,12428.0,2002
NJ,1138193.0,928439.0,45972.0,2002
NM,169039.0,314301.0,0.0,2002
NC,1047983.0,1248664.0,34534.0,2002
OK,369789.0,583579.0,65056.0,2002
OR,501898.0,712287.0,53036.0,2002
RI,253922.0,69881.0,259.0,2002
SC,487359.0,600010.0,15579.0,2002
SD,167481.0,166957.0,3070.0,2002
TN,728295.0,891420.0,22706.0,2002
TX,1955758.0,2496243.0,62011.0,2002
VA,0.0,1229894.0,259528.0,2002
WV,275281.0,160902.0,0.0,2002
WY,49570.0,133710.0,0.0,2002
AL,595018.0,1242200.0,1848.0,2004
AK,140424.0,149773.0,18118.0,2004
AZ,404507.0,1505372.0,51798.0,2004
AR,580973.0,458036.0,340.0,2004
CA,6955728.0,4555922.0,541645.0,2004
CO,1081188.0,980668.0,45698.0,2004
CT,945347.0,457749.0,21630.0,2004
FL,3590201.0,3672864.0,166829.0,2004
GA,1267690.0,1864202.0,69089.0,2004
HI,313629.0,87172.0,14546.0,2004
ID,0.0,499796.0,4136.0,2004
IL,3597456.0,1390690.0,153374.0,2004
IN,1496976.0,903913.0,27344.0,2004
IA,412365.0,1038175.0,28688.0,2004
KS,310337.0,780863.0,37822.0,2004
KY,850855.0,873507.0,0.0,2004
LA,877482.0,943014.0,27560.0,2004
MD,1504691.0,783055.0,35437.0,2004
MO,1158261.0,1518089.0,30052.0,2004
NV,494805.0,284640.0,30623.0,2004
NH,221549.0,434847.0,690.0,2004
NY,4384907.0,1625069.0,692899.0,2004
NC,1632527.0,1791450.0,48105.0,2004
ND,212143.0,98553.0,0.0,2004
OH,1961249.0,3464651.0,296.0,2004
OK,596750.0,763433.0,86663.0,2004
OR,1128728.0,565254.0,86568.0,2004
PA,2334126.0,2925080.0,299899.0,2004
SC,704384.0,857167.0,35670.0,2004
SD,193340.0,197848.0,0.0,2004
UT,258955.0,626640.0,26131.0,2004
VT,216972.0,75398.0,14838.0,2004
WA,1549708.0,1204584.0,64359.0,2004
WI,1632697.0,1301183.0,15863.0,2004
AZ,664141.0,814398.0,48243.0,2006
CA,5076289.0,2990822.0,474365.0,2006
CT,450844.0,109198.0,574738.0,2006
DE,170567.0,69734.0,13798.0,2006
FL,2890548.0,1826127.0,76859.0,2006
HI,210330.0,126097.0,6415.0,2006
IN,0.0,1171553.0,169558.0,2006
ME,111984.0,402598.0,29399.0,2006
MD,965477.0,787182.0,28480.0,2006
MA,1500738.0,661532.0,3220.0,2006
MI,2151278.0,1559597.0,69267.0,2006
MN,1278849.0,835653.0,88270.0,2006
MS,213000.0,388399.0,9522.0,2006
MO,1055255.0,1006941.0,66263.0,2006
MT,199845.0,196283.0,10377.0,2006
NE,378388.0,213928.0,0.0,2006
NV,238796.0,322501.0,21275.0,2006
NJ,1200843.0,997775.0,51452.0,2006
NM,394365.0,163826.0,359.0,2006
NY,2698931.0,1212902.0,578220.0,2006
ND,150146.0,64417.0,3589.0,2006
OH,2257369.0,1761037.0,830.0,2006
PA,2392984.0,1684778.0,3281.0,2006
RI,206110.0,179001.0,340.0,2006
TN,879976.0,929911.0,23808.0,2006
TX,1555202.0,2661789.0,97672.0,2006
UT,177459.0,356238.0,37555.0,2006
VT,0.0,84924.0,177495.0,2006
VA,1175606.0,1166277.0,28562.0,2006
WA,1184659.0,832106.0,66969.0,2006
WV,296276.0,155043.0,8565.0,2006
WI,1439214.0,630299.0,68784.0,2006
WY,57671.0,135174.0,291.0,2006
AL,752391.0,1305383.0,2417.0,2008
AK,151767.0,147814.0,18142.0,2008
AR,804678.0,0.0,207076.0,2008
CO,1231049.0,990784.0,109879.0,2008
DE,257539.0,140595.0,0.0,2008
GA,2667316.0,3095130.0,127995.0,2008
ID,219903.0,371744.0,53133.0,2008
IL,3615844.0,1520621.0,193419.0,2008
IA,941665.0,560006.0,1247.0,2008
KS,441399.0,727121.0,42170.0,2008
KY,847005.0,953816.0,0.0,2008
LA,988298.0,867177.0,41099.0,2008
ME,279510.0,444300.0,620.0,2008
MA,1971974.0,926044.0,97229.0,2008
MI,3038386.0,1641070.0,169164.0,2008
MN,1212629.0,1212317.0,462700.0,2008
MS,480915.0,766111.0,1243473.0,2008
MT,348289.0,129369.0,0.0,2008
NE,317456.0,455854.0,19201.0,2008
NH,358438.0,314403.0,21946.0,2008
NJ,1951218.0,1461025.0,70202.0,2008
NM,505128.0,318522.0,0.0,2008
NC,2249311.0,1887510.0,135149.0,2008
OK,527736.0,763375.0,55708.0,2008
OR,864392.0,805159.0,97953.0,2008
RI,320644.0,116174.0,1994.0,2008
SC,790621.0,1076534.0,4276.0,2008
SD,237889.0,142784.0,0.0,2008
TN,767236.0,1579477.0,77872.0,2008
TX,3389365.0,4337469.0,185241.0,2008
VA,2369327.0,1228830.0,45137.0,2008
WV,447560.0,254629.0,119.0,2008
WY,126833.0,372109.0,562.0,2008
AL,515619.0,968181.0,1699.0,2010
AK,60045.0,90839.0,106654.0,2010
AZ,592011.0,1005615.0,110858.0,2010
AR,288156.0,451618.0,40183.0,2010
CA,5218137.0,4217386.0,564337.0,2010
CO,854685.0,824789.0,98194.0,2010
CT,605204.0,498341.0,49570.0,2010
DE,174012.0,123053.0,10337.0,2010
FL,1092936.0,2645743.0,1672427.0,2010
GA,996516.0,1489904.0,68838.0,2010
HI,277228.0,79939.0,13416.0,2010
ID,112057.0,319953.0,17520.0,2010
IL,3360964.0,3456427.0,433066.0,2010
IN,697775.0,952116.0,94590.0,2010
IA,371686.0,718215.0,26162.0,2010
KS,220971.0,587175.0,29546.0,2010
KY,600052.0,755706.0,338.0,2010
LA,476572.0,715415.0,73007.0,2010
MD,1140531.0,655666.0,37661.0,2010
MO,789736.0,1054160.0,100003.0,2010
NV,362785.0,321361.0,37258.0,2010
NH,167545.0,273218.0,14386.0,2010
NY,5166091.0,2577913.0,1361563.0,2010
NC,1145074.0,1458046.0,56959.0,2010
ND,52955.0,181689.0,4168.0,2010
OH,1503297.0,2168742.0,143059.0,2010
OK,265814.0,718482.0,32855.0,2010
OR,825507.0,566199.0,50882.0,2010
PA,1948716.0,2028945.0,0.0,2010
SC,364598.0,810771.0,143425.0,2010
SD,0.0,227947.0,0.0,2010
UT,192417.0,0.0,0.0,2010
VT,72582.0,23926.0,171.0,2010
WA,703890.0,723316.0,22920.0,2010
WV,94202.0,54084.0,223.0,2010
WI,224434.0,595830.0,112.0,2010
AZ,1036542.0,1104457.0,102423.0,2012
CA,7864624.0,4713887.0,0.0,2012
CT,792983.0,604569.0,114212.0,2012
DE,265415.0,115700.0,18492.0,2012
FL,4523451.0,3458267.0,208228.0,2012
HI,269489.0,160994.0,0.0,2012
IN,1281181.0,1133621.0,145300.0,2012
ME,92900.0,215399.0,392300.0,2012
MD,1474028.0,693291.0,465896.0,2012
MA,1696346.0,1458048.0,2159.0,2012
MI,2735826.0,1767386.0,149706.0,2012
MN,1854595.0,867974.0,120638.0,2012
MS,503467.0,709626.0,28475.0,2012
MO,1494125.0,1066159.0,165509.0,2012
MT,236123.0,218051.0,31892.0,2012
NE,332979.0,455593.0,0.0,2012
NV,446080.0,457656.0,94069.0,2012
NJ,1985783.0,1329405.0,59480.0,2012
NM,395717.0,351260.0,28816.0,2012
NY,4432525.0,1517578.0,729575.0,2012
ND,161163.0,158282.0,1406.0,2012
OH,2762766.0,2435744.0,250617.0,2012
PA,3021364.0,2509132.0,98995.0,2012
RI,271034.0,146222.0,933.0,2012
TN,705882.0,1506443.0,109152.0,2012
TX,3194927.0,4440137.0,229758.0,2012
UT,301873.0,657608.0,47420.0,2012
VT,0.0,72898.0,219864.0,2012
VA,2010067.0,1785542.0,6587.0,2012
WA,1855493.0,1213924.0,0.0,2012
WV,399898.0,240787.0,19517.0,2012
WI,1547104.0,1380126.0,82181.0,2012
WY,53019.0,185250.0,6593.0,2012
AL,0.0,795606.0,22484.0,2014
AK,129431.0,135445.0,17524.0,2014
AR,334174.0,478819.0,34512.0,2014
CO,944203.0,983891.0,112964.0,2014
DE,130655.0,98823.0,4560.0,2014
GA,1160811.0,1358088.0,48906.0,2014
HI,246827.0,98006.0,8941.0,2014
ID,151574.0,285596.0,0.0,2014
IL,1929637.0,1538522.0,135360.0,2014
IA,494370.0,588575.0,46755.0,2014
KS,0.0,460350.0,405841.0,2014
KY,584698.0,806787.0,44383.0,2014
LA,1200443.0,1532156.0,13034.0,2014
ME,190244.0,413495.0,269.0,2014
MA,1289944.0,791950.0,3078.0,2014
MI,1704936.0,1290199.0,126640.0,2014
MN,1053205.0,850227.0,78096.0,2014
MS,239439.0,378481.0,13938.0,2014
MT,148184.0,213709.0,7933.0,2014
NE,170127.0,347636.0,22574.0,2014
NH,251184.0,235347.0,1628.0,2014
NJ,1043866.0,791297.0,34372.0,2014
NM,286409.0,229097.0,0.0,2014
NC,1377651.0,1423259.0,114371.0,2014
OK,472230.0,1115168.0,54225.0,2014
OR,814537.0,538847.0,108234.0,2014
RI,223675.0,92684.0,539.0,2014
SC,916309.0,1430156.0,132592.0,2014
SD,82456.0,140741.0,56215.0,2014
TN,437848.0,850087.0,86130.0,2014
TX,1597387.0,2861531.0,189440.0,2014
VA,1073667.0,1055940.0,54866.0,2014
WV,156360.0,281820.0,15509.0,2014
WY,29377.0,121554.0,17459.0,2014
AL,748709.0,1335104.0,3631.0,2016
AK,36200.0,138149.0,137092.0,2016
AZ,1031245.0,1359267.0,140218.0,2016
AR,400602.0,661984.0,44936.0,2016
CA,12244176.0,0.0,0.0,2016
CO,1370710.0,1215318.0,157001.0,2016
CT,920766.0,552621.0,122889.0,2016
FL,4122088.0,4835191.0,344541.0,2016
GA,1599726.0,2135806.0,163073.0,2016
HI,306604.0,92653.0,17305.0,2016
ID,188249.0,449017.0,41677.0,2016
IL,3012940.0,2184692.0,294246.0,2016
IN,1158947.0,1423991.0,149608.0,2016
IA,549460.0,926007.0,65569.0,2016
KS,379740.0,732376.0,65806.0,2016
KY,813246.0,1090177.0,42.0,2016
LA,1043104.0,1722080.0,52458.0,2016
MD,1659907.0,972557.0,93706.0,2016
MO,1300200.0,1378458.0,123983.0,2016
NV,521994.0,495079.0,91221.0,2016
NH,354649.0,353632.0,30859.0,2016
NY,4784218.0,1723920.0,888167.0,2016
NC,2128165.0,2395376.0,167592.0,2016
ND,58116.0,268788.0,15597.0,2016
OH,1996908.0,3118567.0,258689.0,2016
OK,355911.0,980892.0,111244.0,2016
OR,1105119.0,651106.0,196253.0,2016
PA,2865012.0,2951702.0,241797.0,2016
SC,704540.0,1241609.0,103744.0,2016
SD,104140.0,265516.0,0.0,2016
UT,301860.0,760241.0,53507.0,2016
VT,192243.0,103637.0,17929.0,2016
WA,1913979.0,1329338.0,0.0,2016
WI,1380335.0,1479471.0,88935.0,2016
