State,Democratic,Republican,Democratic_Percent,Republican_Percent
AK,784475.5656879343,1468867.6224308775,0.34813852138645973,0.6518614786135403
AL,404810.39446275827,1848532.7936560535,0.17964879766082656,0.8203512023391735
AR,887871.668825486,1365471.5192933257,0.39402416529668505,0.605975834703315
AZ,1031501.9395969457,1221841.248521866,0.45776513095552396,0.542234869044476
CA,1831114.946595955,422228.24152285676,0.812621422360723,0.187378577639277
CO,1148926.1772934957,1104417.010825316,0.5098762511416066,0.4901237488583934
CT,1343375.7417542464,909967.4463645653,0.5961700591536412,0.4038299408463588
DE,1426112.1771520216,827231.0109667901,0.6328872515609136,0.36711274843908637
FL,1157002.3867358007,1096340.801383011,0.5134603520832156,0.4865396479167844
GA,1001708.4576681574,1251634.7304506542,0.44454322934467294,0.5554567706553271
HI,1584655.2846603836,668687.9034584279,0.7032463110882468,0.29675368891175313
IA,933900.9319324674,1319442.2561863442,0.4144512637296622,0.5855487362703378
ID,723455.3883371721,1529887.7997816396,0.3210586794553669,0.6789413205446331
IL,1279968.8495638138,973374.338554998,0.5680310288786445,0.43196897112135546
IN,1103289.259449294,1150053.9286695179,0.48962326966731046,0.5103767303326896
KS,384710.1121898424,1868633.0759289693,0.17072859306043614,0.8292714069395639
KY,954799.6511251436,1298543.5369936684,0.42372580269153387,0.5762741973084661
LA,919963.6197947054,1333379.5683241063,0.40826609308577216,0.5917339069142278
MA,1303979.9362436093,949363.2518752024,0.5786867899746013,0.4213132100253987
MD,1476692.9014229074,776650.2866959044,0.6553342203748885,0.34466577962511147
ME,694526.0298130193,1558817.1583057924,0.30822026288540616,0.6917797371145938
MI,1325825.223276255,927517.9648425567,0.5883814015845101,0.41161859841548987
MN,1390889.572010965,862453.6161078463,0.6172559862806074,0.38274401371939265
MO,1204378.302428239,1048964.8856905727,0.5344850747895646,0.4655149252104354
MS,904175.862796162,1349167.32532265,0.4012597226927546,0.5987402773072454
MT,1047088.6455320749,1206254.5425867368,0.46468227789404315,0.5353177221059569
NC,1084221.7177599901,1169121.470358822,0.4811613798895609,0.518838620110439
ND,768712.6444960366,1484630.5436227752,0.34114317275292233,0.6588568272470777
NE,845946.166987804,1407397.0211310077,0.37541825472844925,0.6245817452715507
NH,1145817.5332821582,1107525.6548366535,0.5084966814303755,0.4915033185696244
NJ,1315737.645358373,937605.5427604386,0.5839046854007213,0.41609531459927873
NM,1222828.5599125964,1030514.6282062152,0.5426730230708738,0.4573269769291261
NV,1134363.4618482294,1118979.7262705823,0.5034135358650118,0.4965864641349882
NY,1667544.3377375582,585798.8503812534,0.740031232938688,0.25996876706131195
OH,1038587.8801239699,1214755.3079948416,0.46090976536558015,0.5390902346344197
OK,635135.4866975435,1618207.7014212683,0.2818636282508667,0.7181363717491334
OR,1387057.013435708,866286.1746831038,0.615555154114666,0.384444845885334
PA,1170451.7634643798,1082891.4246544319,0.5194289842913469,0.48057101570865307
RI,1528433.5563053377,724909.6318134739,0.6782959490433147,0.3217040509566853
SC,847847.0164890626,1405496.1716297492,0.3762618233030371,0.623738176696963
SD,733635.4453771294,1519707.7427416826,0.3255764364901735,0.6744235635098266
TN,742509.4845753111,1510833.7035435005,0.32951460234301466,0.6704853976569853
TX,875085.7656283624,1378257.4224904494,0.3883499727171705,0.6116500272828296
UT,674686.3194933269,1578656.8686254846,0.2994156962200615,0.7005843037799385
VA,1164684.3395042596,1088658.848614552,0.5168694878105046,0.48313051218949543
VT,732035.7146706852,1521307.4734481263,0.324866499932405,0.675133500067595
WA,1345966.971463714,907376.2166550977,0.5973200081375023,0.4026799918624977
WI,1139277.7636892893,1114065.4244295226,0.5055944295109382,0.49440557048906186
WV,1105278.6019667732,1148064.5861520383,0.49050611011876427,0.5094938898812357
WY,469997.83407289785,1783345.354045914,0.2085780082461706,0.7914219917538294
