State,Democratic,Republican,Number_of_Elections_Included,Democratic_Percent,Republican_Percent
AK,748869.6730068631,1325199.7269931368,5,0.36106210703283503,0.638935482253258
AL,747093.3124728852,1326976.0875271147,5,0.3602056476242536,0.6397919416618395
AR,943989.162289332,1130080.2377106682,5,0.4551375602964541,0.5448600289896389
AZ,807672.2741003026,1266397.1258996972,5,0.3894133566762613,0.6105842326098317
CA,1250542.015259687,823527.3847403129,4,0.6029400961700233,0.3970579752579214
CO,1065229.2620863197,1008840.13791368,6,0.5135923516022223,0.4864047555424842
CT,1251968.4693435624,822100.9306564375,4,0.6036278510411264,0.3963702203868183
DE,1312248.1443799194,761821.2556200805,6,0.6326906651416431,0.3673064420030634
FL,1006503.6280445541,1067565.7719554456,5,0.4852784586920094,0.5147191305940837
GA,906662.1788296542,1167407.2211703458,6,0.43714041390667585,0.5628566932380307
HI,1484210.2949902338,589859.1050097661,6,0.7156009347539795,0.284396172390727
IA,910644.2080275111,1163425.191972489,6,0.4390603196139885,0.560936787530718
ID,666313.0494228493,1407756.350577151,5,0.3212580269168981,0.678739562369195
IL,1232350.0517691707,841719.3482308288,7,0.5941681086430428,0.4058285163607421
IN,1050348.9080281875,1023720.4919718126,4,0.5064183880995665,0.49357968332837815
KS,662161.3886125467,1411908.0113874532,4,0.3192564875536935,0.6807415838742511
KY,901207.471873288,1172861.9281267119,6,0.43451046759114353,0.5654866395535629
LA,944477.7556153513,1129591.6443846487,6,0.455372912486861,0.5446241946578455
MA,1312827.016204671,761242.3837953289,4,0.6329703742426237,0.3670276971853209
MD,1308414.2996975684,765655.1003024317,5,0.6308425096503618,0.36915507963573135
ME,691981.817481579,1382087.5825184209,4,0.3336341990025903,0.6663638724253543
MI,1253211.2400871376,820858.1599128622,5,0.6042267529492373,0.3957708363368557
MN,1174215.6188957852,899853.7811042147,5,0.5661395844313903,0.4338580048547028
MO,1014914.8084990804,1059154.5915009195,6,0.4893336127023542,0.5106634944423523
MS,826618.7793682038,1247450.6206317958,5,0.3985482774235119,0.6014493118625812
MT,1172731.5297259956,901337.8702740042,5,0.5654240415512557,0.43457354773483736
NC,995221.4469307337,1078847.953069266,6,0.47983860515906696,0.5201585019856395
ND,950149.3372339039,1123920.062766096,5,0.4581076441780025,0.5418899451080907
NE,809077.8458019164,1264991.5541980837,5,0.39009104292590296,0.6099065463601901
NH,948764.8130266318,1125304.5869733682,6,0.45743988527448515,0.5425572218702214
NJ,1176647.1745615678,897422.2254384322,5,0.5673119414431651,0.432685647842928
NM,1142755.1926296384,931314.2073703618,5,0.5509711670081066,0.4490264222779866
NV,1077418.690010106,996650.7099898941,5,0.5194696439096428,0.4805279453764504
NY,1454847.8708019622,619221.5291980375,6,0.7014440607134931,0.29855304643121344
OH,935167.901969811,1138901.498030189,5,0.4508844533107448,0.5491131359753484
OK,701756.7830686262,1372312.6169313737,7,0.3383466409764974,0.6616499840272874
OR,1182803.7138281916,891265.6861718082,6,0.5702799974524512,0.42971710969225524
PA,1061686.1722309855,1012383.2277690145,5,0.5118843240295456,0.48811326525654747
RI,1414523.530823262,659545.8691767382,5,0.6820023094751383,0.31799527981095477
SC,818705.4728007185,1255363.9271992813,7,0.394732553150269,0.6052640718535158
SD,942080.1793821434,1131989.2206178564,5,0.45421715796798007,0.545780431318113
TN,797197.0995037879,1276872.300496212,5,0.38436282686088213,0.615634762425211
TX,839351.5954469856,1234717.8045530145,5,0.40468731278250464,0.5953102765035886
UT,651725.1004268313,1422344.2995731684,5,0.314224552613364,0.6857730366727292
VA,1137738.155527317,936331.244472683,4,0.5485525032659485,0.45144556816199616
VT,1429220.0380009704,644849.3619990298,3,0.6890887888007045,0.3109097647695566
WA,1189829.6849053863,884239.7150946137,5,0.5736677936458723,0.4263297956402209
WI,1136034.0608285472,938035.3391714528,5,0.5477306218275233,0.45226696745856987
WV,1195329.9439714926,878739.4560285072,6,0.5763194259820509,0.42367768116265553
WY,514731.7807870183,1559337.6192129815,5,0.24817421245207902,0.751823376834014
